	forum	initiator	original	identifier	tcdate	tmdate	reply_to	reference_index	pdf_status	event_type	filepath
0	SygpC6Ntvr	Conference	SygpC6Ntvr	HJUkzfdvB	1569362397544	1569420551270		0	available	artifact	data/pdfs/iclr_2020/SygpC6Ntvr/artifact_SygpC6Ntvr_0.pdf
1	SygpC6Ntvr	Conference	SygpC6Ntvr	Sy_f0vPsr	1573514767564	1573514767564		1	available	artifact	data/pdfs/iclr_2020/SygpC6Ntvr/artifact_SygpC6Ntvr_1.pdf
2	SygpC6Ntvr	Conference	SygpC6Ntvr	SJ9Ppu2oH	1573846369713	1573846369713		2	available	artifact	data/pdfs/iclr_2020/SygpC6Ntvr/artifact_SygpC6Ntvr_2.pdf
3	SygpC6Ntvr	Conference	SygpC6Ntvr	HyHRgFhjH	1573847245386	1573847245386		3	available	artifact	data/pdfs/iclr_2020/SygpC6Ntvr/artifact_SygpC6Ntvr_3.pdf
4	SygpC6Ntvr	Conference	SygpC6Ntvr	ryFoYt3sH	1573849505160	1573849505160		4	available	artifact	data/pdfs/iclr_2020/SygpC6Ntvr/artifact_SygpC6Ntvr_4.pdf
5	SygpC6Ntvr	Conference	SygpC6Ntvr	7w4JXFLgY	1576893990561	1576893990561		5	duplicate	artifact	data/pdfs/iclr_2020/SygpC6Ntvr/artifact_SygpC6Ntvr_4.pdf
6	SygpC6Ntvr	Conference	SygpC6Ntvr	B2DXgbEIJ	1581540773368	1581540773368		6	available	artifact	data/pdfs/iclr_2020/SygpC6Ntvr/artifact_SygpC6Ntvr_6.pdf
7	SygpC6Ntvr	Conference	SygpC6Ntvr	FEZGPyhze	1581540836410	1581540836410		7	duplicate	artifact	data/pdfs/iclr_2020/SygpC6Ntvr/artifact_SygpC6Ntvr_6.pdf
8	SygpC6Ntvr	Conference	SygpC6Ntvr	zV7Pcxi77	1581640738060	1581640738060		8	available	artifact	data/pdfs/iclr_2020/SygpC6Ntvr/artifact_SygpC6Ntvr_8.pdf
9	SygpC6Ntvr	Conference	SygpC6Ntvr	CcuAxFF02	1581697455481	1581697455481		9	available	artifact	data/pdfs/iclr_2020/SygpC6Ntvr/artifact_SygpC6Ntvr_9.pdf
10	SygpC6Ntvr	Conference	SygpC6Ntvr	v6Hx2KUvPg	1586715134150	1586715134150		10	available	artifact	data/pdfs/iclr_2020/SygpC6Ntvr/artifact_SygpC6Ntvr_10.pdf
11	SygpC6Ntvr	Program_Chairs	4kE-ALhpG	FvJQaDMi7	1576798708381	1576800927995	SygpC6Ntvr	0	not_applicable	comment	data/text/iclr_2020/SygpC6Ntvr/comment_4kE-ALhpG_0.json
12	SygpC6Ntvr	Authors	H1xy8gYnoB	SJyUxtnjH	1573847110604	1573849570174	BJejmeERKS	0	not_applicable	comment	data/text/iclr_2020/SygpC6Ntvr/comment_H1xy8gYnoB_0.json
13	SygpC6Ntvr	Authors	r1xAylF2ir	SkC1gYnsB	1573847014126	1573849597691	HyeUOAxaYH	0	not_applicable	comment	data/text/iclr_2020/SygpC6Ntvr/comment_r1xAylF2ir_0.json
14	SygpC6Ntvr	Authors	ByeykJtnsH	S111JYhsH	1573846743392	1573847443539	SygpC6Ntvr	0	not_applicable	comment	data/text/iclr_2020/SygpC6Ntvr/comment_ByeykJtnsH_0.json
15	SygpC6Ntvr	Authors	HJgnKfuvsS	SJ2KfuvjH	1573515907527	1573516057353	BJejmeERKS	0	not_applicable	comment	data/text/iclr_2020/SygpC6Ntvr/comment_HJgnKfuvsS_0.json
16	SygpC6Ntvr	Authors	HJlnoe_PoH	ry3seOPsS	1573515427955	1573516084793	HyeUOAxaYH	0	not_applicable	comment	data/text/iclr_2020/SygpC6Ntvr/comment_HJlnoe_PoH_0.json
17	SygpC6Ntvr	Authors	rke37kOvsB	SyhXkODiB	1573515044177	1573516028438	BkxR8nw95S	0	not_applicable	comment	data/text/iclr_2020/SygpC6Ntvr/comment_rke37kOvsB_0.json
18	SygpC6Ntvr	Authors	Bygin0DvoB	H1ihCDwsB	1573514931084	1573514931084	SygpC6Ntvr	0	not_applicable	comment	data/text/iclr_2020/SygpC6Ntvr/comment_Bygin0DvoB_0.json
19	SygpC6Ntvr	AnonReviewer2	BkxR8nw95S	rkCLnPccS	1572662358115	1572972541564	SygpC6Ntvr	0	not_applicable	comment	data/text/iclr_2020/SygpC6Ntvr/comment_BkxR8nw95S_0.json
20	SygpC6Ntvr	AnonReviewer3	BJejmeERKS	r1oXeN0Yr	1571860515425	1572972541606	SygpC6Ntvr	0	not_applicable	comment	data/text/iclr_2020/SygpC6Ntvr/comment_BJejmeERKS_0.json
21	SygpC6Ntvr	AnonReviewer4	HyeUOAxaYH	B18_Rx6FB	1571782254176	1572972541650	SygpC6Ntvr	0	not_applicable	comment	data/text/iclr_2020/SygpC6Ntvr/comment_HyeUOAxaYH_0.json
22	S1gTAp4FDB	Conference	S1gTAp4FDB	SkSoWz_PH	1569362333491	1569394646169		0	available	artifact	data/pdfs/iclr_2020/S1gTAp4FDB/artifact_S1gTAp4FDB_0.pdf
23	S1gTAp4FDB	Conference	S1gTAp4FDB	B1b3TN7oB	1573240233330	1573240233330		1	available	artifact	data/pdfs/iclr_2020/S1gTAp4FDB/artifact_S1gTAp4FDB_1.pdf
24	S1gTAp4FDB	Program_Chairs	ITNJKX0OLk	XDqB4D-ZgF	1576798708351	1576800928027	S1gTAp4FDB	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_ITNJKX0OLk_0.json
25	S1gTAp4FDB	Authors	Skl7nT5isS	Bkm26qosH	1573789098698	1573789098698	H1lYI6cioB	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_Skl7nT5isS_0.json
26	S1gTAp4FDB	Authors	SJgTt6cjsB	rk6Kacosr	1573789061424	1573789061424	HyesKyIosr	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_SJgTt6cjsB_0.json
27	S1gTAp4FDB	Authors	H1lYI6cioB	HkFIa5ijB	1573789008992	1573789008992	HyesKyIosr	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_H1lYI6cioB_0.json
28	S1gTAp4FDB	Authors	BklZmp5ssr	HJZQaqsor	1573788953418	1573788953418	HyesKyIosr	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_BklZmp5ssr_0.json
29	S1gTAp4FDB	Authors	H1xvAn9jor	r1PA29ioH	1573788879202	1573788879202	HyesKyIosr	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_H1xvAn9jor_0.json
30	S1gTAp4FDB	AnonReviewer2	HyesKyIosr	B1jYJ8ooH	1573769090865	1573769090865	ryl_49iYsB	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_HyesKyIosr_0.json
31	S1gTAp4FDB	Authors	Hkx_dojFjS	SyuOoiYoB	1573661552159	1573765034151	Byg3ywNQiB	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_Hkx_dojFjS_0.json
32	S1gTAp4FDB	Authors	ryl_49iYsB	rydN5itjH	1573661231666	1573765050010	Hkl9B_4QoS	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_ryl_49iYsB_0.json
33	S1gTAp4FDB	Authors	Syxe_047sS	HJeORVQjS	1573240424058	1573240449837	S1gTAp4FDB	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_Syxe_047sS_0.json
34	S1gTAp4FDB	Authors	Hkl9B_4QoS	Bk5BuVmor	1573238849916	1573238849916	rkxD5oj2YH	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_Hkl9B_4QoS_0.json
35	S1gTAp4FDB	Authors	Byg3ywNQiB	SJ21vNmor	1573238500388	1573238500388	HklhRjcJcH	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_Byg3ywNQiB_0.json
36	S1gTAp4FDB	Authors	H1xkm8EmoH	SkyXIEQiS	1573238294616	1573238294616	SyeeGb2gcH	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_H1xkm8EmoH_0.json
37	S1gTAp4FDB	AnonReviewer1	SyeeGb2gcH	SklMbngcr	1572024583872	1572972541695	S1gTAp4FDB	0	not_applicable	comment	data/text/iclr_2020/S1gTAp4FDB/comment_SyeeGb2gcH_0.json
